code_metier,code_competence,poids,niveau_requis,est_actif,date_creation,date_mise_a_jour
OP001,COMP114,2.0,3.0,true,2025-09-03 13:56:16,2025-09-11 07:26:40
OP001,COMP115,2.0,4.0,true,2025-09-03 13:56:16,2025-09-11 07:26:44
OP001,COMP116,2.0,4.0,true,2025-09-03 13:56:16,2025-09-11 07:26:46
OP001,COMP117,2.0,3.0,true,2025-09-03 13:56:16,2025-09-11 07:26:48
OP001,COMP29,2.0,3.0,true,2025-09-03 13:56:16,2025-09-11 07:26:42
OP001,COMP456,2.0,4.0,true,2025-09-03 13:56:16,2025-09-11 07:26:56
OP001,COMP459,2.0,4.0,true,2025-09-03 13:56:16,2025-09-11 07:26:58
OP001,COMP472,2.0,3.0,true,2025-09-03 13:56:16,2025-09-11 07:27:00
OP001,COMP478,2.0,3.0,true,2025-09-03 13:56:16,2025-09-11 07:27:02
OP001,COMP492,2.0,4.0,true,2025-09-03 13:56:16,2025-09-11 07:27:04
OP001,COMP497,2.0,4.0,true,2025-09-03 13:56:16,2025-09-11 07:27:05
OP001,COMP528,2.0,4.0,true,2025-09-03 13:56:16,2025-09-11 07:26:52
OP001,COMP536,2.0,3.0,true,2025-09-03 13:56:16,2025-09-11 07:27:07
OP001,COMP543,2.0,4.0,true,2025-09-03 13:56:16,2025-09-11 07:26:54
OP001,COMP554,2.0,4.0,true,2025-09-03 13:56:17,2025-09-11 07:27:09
OP001,COMP572,2.0,4.0,true,2025-09-03 13:56:17,2025-09-11 07:27:11
OP001,COMP578,2.0,4.0,true,2025-09-03 13:56:17,2025-09-11 07:27:19
OP001,COMP579,2.0,4.0,true,2025-09-03 13:56:17,2025-09-11 07:27:21
OP001,COMP58,2.0,2.0,true,2026-02-25 03:36:56,2026-02-25 03:37:15
OP001,COMP583,2.0,4.0,true,2025-09-03 13:56:17,2025-09-11 07:27:17
OP001,COMP585,2.0,4.0,true,2025-09-03 13:56:17,2025-09-11 07:27:23
OP001,COMP592,2.0,4.0,true,2025-09-03 13:56:17,2025-09-11 07:27:13
OP001,COMP593,2.0,3.0,true,2025-09-03 13:56:17,2025-09-11 07:27:15
OP001,COMP596,2.0,4.0,true,2025-09-03 13:56:17,2025-09-11 07:27:24
OP001,COMP61,2.0,3.0,true,2025-09-03 13:56:16,2025-09-11 07:26:36
OP002,COMP29,2.0,2.0,true,2025-09-03 13:56:08,2025-09-11 07:19:18
OP002,COMP454,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:21
OP002,COMP484,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:22
OP002,COMP521,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:20
OP002,COMP541,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:23
OP002,COMP551,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:19
OP002,COMP572,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:22
OP002,COMP579,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:27
OP002,COMP585,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:26
OP002,COMP587,2.0,4.0,true,2025-09-03 13:56:09,2025-09-11 07:19:26
OP002,COMP588,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:29
OP002,COMP591,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:28
OP002,COMP594,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:24
OP002,COMP596,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:25
OP002,COMP81,2.0,3.0,true,2025-09-03 13:56:08,2025-09-11 07:19:16
