code_competence,nom_competence,id_categorie_detention,date_mise_a_jour
COMP374,"Notions de modélisation d'architecture SI et des référentiels COBIT, PMI, ITIL",poorly_held,2025-09-03 13:38:23
COMP63,"Connaissance des architectures WOA (API REST, micro-services...), de la containerisation des applications (Docker / Kubernetes) et de DevOps",poorly_held,2025-09-03 13:38:02
COMP569,Travailler en équipe,well_held,2026-01-12 04:17:11
COMP1,Processus de gestion administrative d'une commande publique.,poorly_held,2025-09-03 13:38:00
COMP611,Connaissance de l'état de l'art et d'expertise des technologies et des équipements dans son domaine,poorly_held,2026-02-04 22:18:38
COMP517,Gérer les relations interpersonnelles,poorly_held,2025-09-03 13:38:38
COMP428,Connaissances de l'énergie (basse tension et courant continu),moderately_held,2026-02-25 23:48:57
COMP357,Droit du travail,well_held,2025-10-27 06:12:43
COMP214,Modélisation des processus,poorly_held,2026-04-07 23:22:49
COMP174,Maitrise de la comptabilité des agences,moderately_held,2025-09-03 13:38:07
COMP79,Méthodes et techniques de contrôle,poorly_held,2025-09-03 13:38:03
COMP217,Culture de la maitrise des risques,poorly_held,2025-09-03 13:38:10
COMP564,Superviser une personne,poorly_held,2025-09-03 13:38:44
COMP96,Techniques d'accueil de la clientèle,well_held,2026-02-26 22:40:36
COMP463,"Anticiper un risque, une évolution",well_held,2025-09-03 13:38:32
COMP284,Techniques de signalisation.,poorly_held,2025-09-03 13:38:15
COMP14,"Architectures, protocoles et infrastructures des réseaux publics et d'entreprise",poorly_held,2025-09-03 13:38:01
COMP385,Connaissance des bonnes pratiques de la relation avec les métiers (BRMBoK),poorly_held,2025-09-03 13:38:24
COMP608,Connaissance d'outils mathématiques et statistiques pertinents du domaine.,poorly_held,2026-02-04 22:19:54
COMP261,"Modes opératoires et procédures en vigueur au sein de l'établissement,",poorly_held,2025-09-03 13:38:13
COMP552,"Réaliser une étude, une tache, un travail",poorly_held,2025-09-03 13:38:42
COMP494,Démontrer,poorly_held,2025-09-03 13:38:35
COMP87,Connaissance des logiciels PAO et vidéos,poorly_held,2025-09-03 13:38:03
COMP509,Evaluer,well_held,2025-09-03 13:38:37
COMP476,"Concevoir un outil, un dispositif",moderately_held,2025-09-03 13:38:33
COMP455,Analyser un comportement,poorly_held,2025-09-03 13:38:31
COMP601,"Facilitation - Aptitude à mobiliser les ressources, créer un environnement favorable, et accompagner les équipes dans l'atteinte des objectifs de manière collaborative.",moderately_held,2025-09-03 13:38:49
COMP62,Solution d'automatisation RedHat Ansible,poorly_held,2026-02-26 04:46:53
COMP31,Connaissance de l'organisation et des procédures de l'OPT-NC applicables à son domaine d'activité,poorly_held,2026-02-05 02:51:24
COMP414,Connaissance des techniques et supports de communication et médias,poorly_held,2025-09-03 13:38:27
COMP64,Connaissance des marketplace d'API et des outils d'API management,poorly_held,2025-09-03 13:38:02
